class,finger1x,finger1y,finger1z,finger2x,finger2y,finger2z,finger3x,finger3y,finger3z,finger4x,finger4y,finger4z,finger5x,finger5y,finger5z
1,-98.1808,76.1334,14.5956,-85.2991,90.1268,18.5724,-74.3344,91.8304,30.854,-61.7814,98.6398,39.0234,-48.7924,105.955,37.4558
1,-98.2012,76.1299,14.4583,-85.4348,92.5704,17.5542,-74.2445,91.8368,31.0442,-61.6967,98.616,39.1879,-48.6974,105.913,37.6211
1,-98.2099,76.1266,14.3961,-85.4034,93.7382,17.6141,-74.1666,91.8362,31.2041,-61.6137,98.5947,39.3416,-48.6032,105.88,37.7808
1,-98.2137,76.1242,14.3709,-85.416,94.2465,17.8181,-74.1183,91.838,31.313,-61.5597,98.5858,39.4504,-48.5443,105.865,37.8913
1,-98.2152,76.1229,14.3592,-85.4197,94.498,17.9606,-74.09,91.8404,31.3794,-61.5262,98.5823,39.5207,-48.5081,105.859,37.9621
1,-98.2158,76.1224,14.3489,-85.4288,94.6442,18.0834,-74.078,91.841,31.419,-61.5117,98.5794,39.5676,-48.4927,105.855,38.0113
1,-98.2152,76.1221,14.3374,-85.4168,94.7313,18.1831,-74.0709,91.8409,31.4421,-61.5029,98.577,39.5962,-48.4834,105.852,38.041
1,-98.2124,76.1209,14.3284,-85.3909,94.7878,18.2852,-74.0647,91.8401,31.4613,-61.4949,98.5741,39.6201,-48.4745,105.848,38.0669
1,-98.2094,76.1191,14.3225,-85.3659,94.8308,18.3687,-74.0596,91.8397,31.4766,-61.4887,98.5722,39.6388,-48.4669,105.844,38.0891
1,-98.2067,76.1172,14.3195,-85.3396,94.8685,18.4482,-74.0546,91.8395,31.4912,-61.4826,98.5706,39.6562,-48.4583,105.841,38.1123
1,-98.2052,76.116,14.3183,-85.319,94.8981,18.5123,-74.0501,91.8393,31.5046,-61.4768,98.5692,39.6728,-48.4495,105.838,38.1363
1,-98.2048,76.1155,14.318,-85.311,94.9102,18.538,-74.0483,91.8394,31.5101,-61.4746,98.5687,39.6796,-48.4464,105.837,38.1453
1,-98.2037,76.1146,14.3179,-85.2887,94.9366,18.5995,-74.0456,91.8393,31.5185,-61.4714,98.568,39.6891,-48.4415,105.835,38.1594
1,-98.2031,76.114,14.3179,-85.2656,94.9645,18.6633,-74.0441,91.8393,31.5235,-61.4697,98.5675,39.6948,-48.4386,105.834,38.1686
1,-98.2027,76.1135,14.3181,-85.2378,94.9937,18.7347,-74.0433,91.8393,31.5262,-61.4685,98.5671,39.6988,-48.4355,105.832,38.1783
1,-98.2023,76.1129,14.3185,-85.2103,95.02,18.8046,-74.0426,91.8393,31.5283,-61.4673,98.5667,39.703,-48.4308,105.83,38.1925
1,-98.2019,76.112,14.3192,-85.1861,95.0419,18.8657,-74.042,91.8392,31.5303,-61.4659,98.5663,39.7074,-48.4242,105.826,38.2124
1,-98.2014,76.1104,14.3205,-85.1679,95.0583,18.9125,-74.0416,91.8392,31.5318,-61.4649,98.5659,39.711,-48.4164,105.822,38.2362
